Fecha,Atributo,Valor
01/10/1974 00:00,Cabanillas,20.5
01/11/1974 00:00,Cabanillas,48.1
01/12/1974 00:00,Cabanillas,87.4
01/01/1975 00:00,Cabanillas,134.3
01/02/1975 00:00,Cabanillas,193.5
01/03/1975 00:00,Cabanillas,107.4
01/04/1975 00:00,Cabanillas,22.1
01/05/1975 00:00,Cabanillas,23.5
01/06/1975 00:00,Cabanillas,0
01/07/1975 00:00,Cabanillas,0
01/08/1975 00:00,Cabanillas,0
01/09/1975 00:00,Cabanillas,13.1
01/10/1975 00:00,Cabanillas,34.1
01/11/1975 00:00,Cabanillas,17
01/12/1975 00:00,Cabanillas,212.8
01/01/1976 00:00,Cabanillas,184
01/02/1976 00:00,Cabanillas,136.6
01/03/1976 00:00,Cabanillas,130.6
01/04/1976 00:00,Cabanillas,18.4
01/05/1976 00:00,Cabanillas,2
01/06/1976 00:00,Cabanillas,1.9
01/07/1976 00:00,Cabanillas,1.3
01/08/1976 00:00,Cabanillas,3.9
01/09/1976 00:00,Cabanillas,41.8
01/10/1976 00:00,Cabanillas,4.3
01/11/1976 00:00,Cabanillas,9.7
01/12/1976 00:00,Cabanillas,65.1
01/01/1977 00:00,Cabanillas,70.3
01/02/1977 00:00,Cabanillas,166.6
01/03/1977 00:00,Cabanillas,173.2
01/04/1977 00:00,Cabanillas,28.5
01/05/1977 00:00,Cabanillas,0
01/06/1977 00:00,Cabanillas,0
01/07/1977 00:00,Cabanillas,0
01/08/1977 00:00,Cabanillas,0
01/09/1977 00:00,Cabanillas,23.1
01/10/1977 00:00,Cabanillas,33.4
01/11/1977 00:00,Cabanillas,118.5
01/12/1977 00:00,Cabanillas,168.2
01/01/1978 00:00,Cabanillas,257.8
01/02/1978 00:00,Cabanillas,148.5
01/03/1978 00:00,Cabanillas,117.8
01/04/1978 00:00,Cabanillas,37.7
01/05/1978 00:00,Cabanillas,0
01/06/1978 00:00,Cabanillas,0
01/07/1978 00:00,Cabanillas,0
01/08/1978 00:00,Cabanillas,0
01/09/1978 00:00,Cabanillas,6.3
01/10/1978 00:00,Cabanillas,14.2
01/11/1978 00:00,Cabanillas,72.5
01/12/1978 00:00,Cabanillas,160.8
01/01/1979 00:00,Cabanillas,203.6
01/02/1979 00:00,Cabanillas,125
01/03/1979 00:00,Cabanillas,71.9
01/04/1979 00:00,Cabanillas,52
01/05/1979 00:00,Cabanillas,3.9
01/06/1979 00:00,Cabanillas,0
01/07/1979 00:00,Cabanillas,0.6
01/08/1979 00:00,Cabanillas,1.2
01/09/1979 00:00,Cabanillas,3.1
01/10/1979 00:00,Cabanillas,33.9
01/11/1979 00:00,Cabanillas,42.4
01/12/1979 00:00,Cabanillas,122.4
01/01/1980 00:00,Cabanillas,60.8
01/02/1980 00:00,Cabanillas,84.5
01/03/1980 00:00,Cabanillas,168.4
01/04/1980 00:00,Cabanillas,8.1
01/05/1980 00:00,Cabanillas,4.9
01/06/1980 00:00,Cabanillas,0
01/07/1980 00:00,Cabanillas,1
01/08/1980 00:00,Cabanillas,32.7
01/09/1980 00:00,Cabanillas,38.6
01/10/1980 00:00,Cabanillas,51.7
01/11/1980 00:00,Cabanillas,57
01/12/1980 00:00,Cabanillas,46.3
01/01/1981 00:00,Cabanillas,124.7
01/02/1981 00:00,Cabanillas,148.8
01/03/1981 00:00,Cabanillas,161.2
01/04/1981 00:00,Cabanillas,47.9
01/05/1981 00:00,Cabanillas,0
01/06/1981 00:00,Cabanillas,0
01/07/1981 00:00,Cabanillas,1
01/08/1981 00:00,Cabanillas,22.2
